Drugs,Code,Library,Selected,preset_ARChetype Syndromic CRF_ARI,Value,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Abatacept (Orencia), L04AA24  , ATC     , ,,1,,
Adalimumab (Humira), L04AB04  , ATC     ,1,,2,,
"Alemtuzumab (Campath, Lemtrada)", L04AA34, ATC     ,,,3,,
Anakinra,L04AC03,ATC,,,4,,
"Azatioprina (Imuran, Azasan)", L04AX01  , ATC     ,1,1.0,5,,
Basiliximab (simulect), L04AC02, ATC     , ,,6,,
Belatacept (nulojix), L04AA28, ATC     , ,,7,,
"Ciclosporina (Neoral, Sandimmune, Gengraf)", L04AD01  , ATC     ,1,,8,,
Etanercept (enbrel), L04AB01  , ATC     ,1,,9,,
"Everolimus (Afinitor, Zortress)", L04AA18  , ATC     , ,,10,,
"Infliximab (avsola, infretra, remicade)", L04AB02  , ATC     ,1,,11,,
Leflunomida (Arava), L04AA13  , ATC     , ,,12,,
Mercaptopurina (Purixan),L01BB02,ATC,,,13,,
"Metotrexato (Trexall, Rasuvo, Otrexup)",L04AX03  ,ATC     ,1,1.0,14,,
Micofenolato Mofetil (CellCept), L04AA06  , ATC     ,1,,15,,
Ácido micofenólico (myfortic), L04AA06, ATC     ,1,1.0,16,,
Natalizumab (Tysabri), L04AA23  , ATC     , ,,17,,
Nivolumab (OpDivo),L01FF02,ATC,,,18,,
"Rituximab (Rituxan, Mabthera)",L01FA01 , ATC     ,1,1.0,19,,
Sarilumab (Kevzara), L04AC14, ATC     ,1,,20,,
Secukinumab (Cosentyx), L04AC10  , ATC     , ,,21,,
Sirolimus (Rapamune), L04AA10  , ATC     , ,,22,,
"Tacrolimus (Programaf, Advagraf, Protópico)", L04AD02  , ATC     ,1,,23,,
Talidomida (talomid),L04AX02,ATC,,,24,,
Tocilizumab (Actemra), L04AC07  , ATC     ,1,1.0,25,,
Ustekinumab (Stelara), L04AC05  , ATC     , ,,26,,
Vedolizumab (Entyvio), L04AA33, ATC     , ,,27,,
